row_id,text,label,source,original_label
548,want assistance to speak to a live agent,HARD_QUESTION,Bitext Customer Support Intent Dataset,category=CONTACT; intent=contact_human_agent
1217,get me a picture of a horse,UNKNOWN,CLINC OOS Dataset (test),oos
1639,give me information about the deletion of a pro account,FAQ,Bitext Customer Support Intent Dataset,category=ACCOUNT; intent=delete_account
1604,change purchzse,ACCOUNT_OPS,Bitext Customer Support Intent Dataset,category=ORDER; intent=change_order
1766,"urgent! your mobile no xxxxxxxxx won a , bonus caller prize on //! this is the nd attempt to reach you! call asap! boxnqp, ppm",SPAM,UCI SMS Spam Collection,spam
268,give me a list of the biographies written by nyu professors after,UNKNOWN,CLINC OOS Dataset (test),oos
1253,can ya help me receive rebates,ACCOUNT_OPS,Bitext Customer Support Intent Dataset,category=REFUND; intent=get_refund
752,free entry into our weekly comp just send the word win to now. tc,SPAM,UCI SMS Spam Collection,spam
3047,i need to speak to customer service regarding my flight,UNKNOWN,CLINC OOS Dataset (train),oos
1448,"i have to see the eta of order , how to do it?",ACCOUNT_OPS,Bitext Customer Support Intent Dataset,category=ORDER; intent=track_order
1643,i want help to check in which cases can i ask for a refund,ACCOUNT_OPS,Bitext Customer Support Intent Dataset,category=REFUND; intent=check_refund_policy
139,is it possible to giev a quick look at the bill ?,ACCOUNT_OPS,Bitext Customer Support Intent Dataset,category=INVOICE; intent=check_invoice
205,please call our customer service representative on freephone between am-pm as you have won a guaranteed cash or prize!,SPAM,UCI SMS Spam Collection,spam
2143,can you help me creating a standard account for my daughter?,FAQ,Bitext Customer Support Intent Dataset,category=ACCOUNT; intent=create_account
61,wanna know about canceling the newsletter subscription,ACCOUNT_OPS,Bitext Customer Support Intent Dataset,category=SUBSCRIPTION; intent=newsletter_subscription
957,i need hepl to report an error with online payment,ACCOUNT_OPS,Bitext Customer Support Intent Dataset,category=PAYMENT; intent=payment_issue
1645,i do not know how i can retrieve my goddamn user pin code,FAQ,Bitext Customer Support Intent Dataset,category=ACCOUNT; intent=recover_password
1026,i try to check at what time i can contact customer support,HARD_QUESTION,Bitext Customer Support Intent Dataset,category=CONTACT; intent=contact_customer_service
33,i need to see in what situations can i ask to be reimbursed,ACCOUNT_OPS,Bitext Customer Support Intent Dataset,category=REFUND; intent=check_refund_policy
984,i don't know what i need to do to speak with a human agent,HARD_QUESTION,Bitext Customer Support Intent Dataset,category=CONTACT; intent=contact_human_agent
887,were do i see at what time i can reach customer service?,HARD_QUESTION,Bitext Customer Support Intent Dataset,category=CONTACT; intent=contact_customer_service
2068,i do not know how to close a standard account,FAQ,Bitext Customer Support Intent Dataset,category=ACCOUNT; intent=delete_account
947,i'd like to chat withan assistant,HARD_QUESTION,Bitext Customer Support Intent Dataset,category=CONTACT; intent=contact_human_agent
1175,"i need to check how long the shipment takes, how do i do it?",FAQ,Bitext Customer Support Intent Dataset,category=DELIVERY; intent=delivery_period
211,i'd like to update the fucking data on my user profile,FAQ,Bitext Customer Support Intent Dataset,category=ACCOUNT; intent=edit_account
2142,"double mins txts on orange tariffs. latest motorola, sonyericsson nokia with bluetooth free! call mobileupd on or calloptout/hf",SPAM,UCI SMS Spam Collection,spam
1389,what do i need to do to obtain reimbursements of my money,ACCOUNT_OPS,Bitext Customer Support Intent Dataset,category=REFUND; intent=get_refund
1117,how many people died in yesterday's storm,UNKNOWN,CLINC OOS Dataset (test),oos
2010,need help to edit order,ACCOUNT_OPS,Bitext Customer Support Intent Dataset,category=ORDER; intent=change_order
623,i try to talk to customer support,HARD_QUESTION,Bitext Customer Support Intent Dataset,category=CONTACT; intent=contact_customer_service
1924,call listen to extreme dirty live chat going on in the office right now total privacy no one knows your [sic] listening p min /mp,SPAM,UCI SMS Spam Collection,spam
2444,want help talking to customer service,HARD_QUESTION,Bitext Customer Support Intent Dataset,category=CONTACT; intent=contact_customer_service
1991,st wk free! gr tones str u each wk. txt nokia on to for classic nokia tones or hit on to for polys. nokia/p poly/p,SPAM,UCI SMS Spam Collection,spam
1290,you will recieve your tone within the next hrs. for terms and conditions please see channel u teletext pg,SPAM,UCI SMS Spam Collection,spam
1694,what kind of bonds do molecules have,UNKNOWN,CLINC OOS Dataset (test),oos
1877,sports fans - get the latest sports news str ur mobile wk free plus a free tone txt sport on to norm txt/p,SPAM,UCI SMS Spam Collection,spam
1957,i dont know what i have to do to download the bill,ACCOUNT_OPS,Bitext Customer Support Intent Dataset,category=INVOICE; intent=get_invoice
2510,i need help purchasing several items,ACCOUNT_OPS,Bitext Customer Support Intent Dataset,category=ORDER; intent=place_order
2873,i don't know how i can contact an sasistant,HARD_QUESTION,Bitext Customer Support Intent Dataset,category=CONTACT; intent=contact_human_agent
1593,i have old model car,UNKNOWN,CLINC OOS Dataset (train),oos
270,please call amanda with regard to renewing or upgrading your current t-mobile handset free of charge. offer ends today. tel subject to t's and c's,SPAM,UCI SMS Spam Collection,spam
1975,i have an error trying to correct my address,FAQ,Bitext Customer Support Intent Dataset,category=SHIPPING; intent=change_shipping_address
96,i watn help purchasing a product,ACCOUNT_OPS,Bitext Customer Support Intent Dataset,category=ORDER; intent=place_order
199,i want assistance to see the options for shipment,FAQ,Bitext Customer Support Intent Dataset,category=DELIVERY; intent=delivery_options
3244,how do i check what hours customer service available is?,HARD_QUESTION,Bitext Customer Support Intent Dataset,category=CONTACT; intent=contact_customer_service
113,i have to add an item to purchase,ACCOUNT_OPS,Bitext Customer Support Intent Dataset,category=ORDER; intent=change_order
