row_id,text,label,source,original_label
548,want assistance to speak to a live agent,HARD_QUESTION,Bitext Customer Support Intent Dataset,category=CONTACT; intent=contact_human_agent
1217,get me a picture of a horse,UNKNOWN,CLINC OOS Dataset (test),oos
1639,give me information about the deletion of a pro account,FAQ,Bitext Customer Support Intent Dataset,category=ACCOUNT; intent=delete_account
1604,change purchzse,ACCOUNT_OPS,Bitext Customer Support Intent Dataset,category=ORDER; intent=change_order
1766,"URGENT! Your mobile No 07xxxxxxxxx won a £2,000 bonus caller prize on 02/06/03! this is the 2nd attempt to reach YOU! call 09066362231 ASAP! BOX97N7QP, 150PPM",SPAM,UCI SMS Spam Collection,spam
268,give me a list of the biographies written by nyu professors after 2001,UNKNOWN,CLINC OOS Dataset (test),oos
1253,can ya help me receive rebates,ACCOUNT_OPS,Bitext Customer Support Intent Dataset,category=REFUND; intent=get_refund
752,FREE entry into our £250 weekly comp just send the word WIN to 80086 NOW. 18 T&C www.txttowin.co.uk,SPAM,UCI SMS Spam Collection,spam
3047,i need to speak to customer service regarding my flight,UNKNOWN,CLINC OOS Dataset (train),oos
1448,"I have to see the ETA of order , how to do it?",ACCOUNT_OPS,Bitext Customer Support Intent Dataset,category=ORDER; intent=track_order
1643,I want help to check in which cases can I ask for a refund,ACCOUNT_OPS,Bitext Customer Support Intent Dataset,category=REFUND; intent=check_refund_policy
139,is it possible to giev a quick look at the bill #37777?,ACCOUNT_OPS,Bitext Customer Support Intent Dataset,category=INVOICE; intent=check_invoice
205,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed £1000 cash or £5000 prize!,SPAM,UCI SMS Spam Collection,spam
2143,can you help me creating a standard account for my daughter?,FAQ,Bitext Customer Support Intent Dataset,category=ACCOUNT; intent=create_account
61,wanna know about canceling the newsletter subscription,ACCOUNT_OPS,Bitext Customer Support Intent Dataset,category=SUBSCRIPTION; intent=newsletter_subscription
957,I need hepl to report an error with online payment,ACCOUNT_OPS,Bitext Customer Support Intent Dataset,category=PAYMENT; intent=payment_issue
1645,I do not know how I can retrieve my goddamn user PIN code,FAQ,Bitext Customer Support Intent Dataset,category=ACCOUNT; intent=recover_password
1026,i try to check at what time i can contact customer support,HARD_QUESTION,Bitext Customer Support Intent Dataset,category=CONTACT; intent=contact_customer_service
33,I need to see in what situations can I ask to be reimbursed,ACCOUNT_OPS,Bitext Customer Support Intent Dataset,category=REFUND; intent=check_refund_policy
984,I don't know what I need to do to speak with a human agent,HARD_QUESTION,Bitext Customer Support Intent Dataset,category=CONTACT; intent=contact_human_agent
887,were do I see at what time I can reach customer service?,HARD_QUESTION,Bitext Customer Support Intent Dataset,category=CONTACT; intent=contact_customer_service
2068,I do not know how to close a standard account,FAQ,Bitext Customer Support Intent Dataset,category=ACCOUNT; intent=delete_account
947,I'd like to chat withan assistant,HARD_QUESTION,Bitext Customer Support Intent Dataset,category=CONTACT; intent=contact_human_agent
1175,"I need to check how long the shipment takes, how do I do it?",FAQ,Bitext Customer Support Intent Dataset,category=DELIVERY; intent=delivery_period
211,I'd like to update the fucking data on my user profile,FAQ,Bitext Customer Support Intent Dataset,category=ACCOUNT; intent=edit_account
2142,"Double Mins & 1000 txts on Orange tariffs. Latest Motorola, SonyEricsson & Nokia with Bluetooth FREE! Call MobileUpd8 on 08000839402 or call2optout/HF8",SPAM,UCI SMS Spam Collection,spam
1389,what do i need to do to obtain reimbursements of my money,ACCOUNT_OPS,Bitext Customer Support Intent Dataset,category=REFUND; intent=get_refund
1117,how many people died in yesterday's storm,UNKNOWN,CLINC OOS Dataset (test),oos
2010,need help to edit order,ACCOUNT_OPS,Bitext Customer Support Intent Dataset,category=ORDER; intent=change_order
623,I try to talk to customer support,HARD_QUESTION,Bitext Customer Support Intent Dataset,category=CONTACT; intent=contact_customer_service
1924,CALL 09090900040 & LISTEN TO EXTREME DIRTY LIVE CHAT GOING ON IN THE OFFICE RIGHT NOW TOTAL PRIVACY NO ONE KNOWS YOUR [sic] LISTENING 60P MIN 24/7MP 0870753331018+,SPAM,UCI SMS Spam Collection,spam
2444,want help talking to customer service,HARD_QUESTION,Bitext Customer Support Intent Dataset,category=CONTACT; intent=contact_customer_service
1991,1st wk FREE! Gr8 tones str8 2 u each wk. Txt NOKIA ON to 8007 for Classic Nokia tones or HIT ON to 8007 for Polys. Nokia/150p Poly/200p 16+,SPAM,UCI SMS Spam Collection,spam
1290,You will recieve your tone within the next 24hrs. For Terms and conditions please see Channel U Teletext Pg 750,SPAM,UCI SMS Spam Collection,spam
1694,what kind of bonds do molecules have,UNKNOWN,CLINC OOS Dataset (test),oos
1877,sports fans - get the latest sports news str* 2 ur mobile 1 wk FREE PLUS a FREE TONE Txt SPORT ON to 8007 www.getzed.co.uk 0870141701216+ norm 4txt/120p,SPAM,UCI SMS Spam Collection,spam
1957,i dont know what i have to do to download the bill #12588,ACCOUNT_OPS,Bitext Customer Support Intent Dataset,category=INVOICE; intent=get_invoice
2510,i need help purchasing several items,ACCOUNT_OPS,Bitext Customer Support Intent Dataset,category=ORDER; intent=place_order
2873,I don't know how I can contact an sasistant,HARD_QUESTION,Bitext Customer Support Intent Dataset,category=CONTACT; intent=contact_human_agent
1593,i have old model car,UNKNOWN,CLINC OOS Dataset (train),oos
270,Please call Amanda with regard to renewing or upgrading your current T-Mobile handset free of charge. Offer ends today. Tel 0845 021 3680 subject to T's and C's,SPAM,UCI SMS Spam Collection,spam
